CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
00497373000110;200;Bagé;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4301602;SKY/AT&T;Fibra;;;2;2;2;2
00497373000110;200;Capão da Canoa;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4304630;SKY/AT&T;Fibra;17;18;21;22;20;18
00497373000110;200;Carlos Barbosa;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4304804;SKY/AT&T;Fibra;18;17;19;17;18;17
00497373000110;200;Dois Irmãos;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4306403;SKY/AT&T;Fibra;5;5;7;6;4;3
00497373000110;200;Erechim;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4307005;SKY/AT&T;Fibra;7;7;10;9;7;8
00497373000110;200;Erechim;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;4307005;SKY/AT&T;Fibra;1;1;1;1;1;1
00497373000110;200;Flores da Cunha;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4308201;SKY/AT&T;Fibra;3;3;3;2;2;2
00497373000110;200;Garibaldi;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4308607;SKY/AT&T;Fibra;9;8;7;7;7;6
00497373000110;200;Ijuí;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4310207;SKY/AT&T;Fibra;1;2;2;2;1;1
00497373000110;200;Ivoti;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4310801;SKY/AT&T;Fibra;2;3;2;1;1;1
00497373000110;200;Nova Petrópolis;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4313201;SKY/AT&T;Fibra;5;5;5;5;5;5
00497373000110;200;Osório;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4313508;SKY/AT&T;Fibra;5;3;3;3;3;3
00497373000110;200;São Marcos;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4319000;SKY/AT&T;Fibra;4;2;5;6;6;6
00497373000110;200;Taquara;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4321204;SKY/AT&T;Fibra;1;1;2;2;2;2
00497373000110;200;Torres;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4321501;SKY/AT&T;Fibra;3;4;3;4;4;5
00497373000110;200;Tramandaí;RS;> 34Mbps;FTTH;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;4321600;SKY/AT&T;Fibra;30;27;22;19;14;17
