CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
7,65358E+13;100;Jacobina;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2917508;OI;Fibra;196;194;186;186;185;182
7,65358E+13;100;Jequié;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2918001;OI;Fibra;541;541;541;535;528;510
7,65358E+13;100;Juazeiro;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2918407;OI;Fibra;408;396;376;370;363;352
7,65358E+13;100;Lauro de Freitas;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2919207;OI;Fibra;182;178;158;227;266;257
7,65358E+13;100;Luís Eduardo Magalhães;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2919553;OI;Fibra;75;74;75;76;75;77
7,65358E+13;100;Paulo Afonso;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2924009;OI;Fibra;273;269;268;271;272;267
7,65358E+13;100;Porto Seguro;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2925303;OI;Fibra;98;95;84;77;82;82
7,65358E+13;100;Salvador;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2927408;OI;Fibra;7368;7345;7100;7022;7032;7041
7,65358E+13;100;Simões Filho;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2930709;OI;Fibra;29;30;33;35;35;37
7,65358E+13;100;Teixeira de Freitas;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2931350;OI;Fibra;371;373;359;357;353;347
7,65358E+13;100;Valença;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3306107;OI;Fibra;797;805;809;821;818;820
7,65358E+13;100;Vitória da Conquista;BA;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;2933307;OI;Fibra;732;735;708;726;737;734
7,65358E+13;100;Araguari;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3103504;OI;Fibra;811;785;781;779;759;756
7,65358E+13;100;Belo Horizonte;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3106200;OI;Fibra;10939;10919;10911;10904;11014;11064
7,65358E+13;100;Betim;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3106705;OI;Fibra;1574;1543;1529;1525;1522;1528
7,65358E+13;100;Cataguases;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3115300;OI;Fibra;604;589;588;572;569;555
7,65358E+13;100;Caxambu;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3115508;OI;Fibra;80;83;83;83;81;81
7,65358E+13;100;Contagem;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3118601;OI;Fibra;964;972;983;979;1004;1031
7,65358E+13;100;Coronel Fabriciano;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3119401;OI;Fibra;14;22;27;29;34;37
7,65358E+13;100;Divinópolis;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3122306;OI;Fibra;1855;1848;1838;1837;1811;1792
7,65358E+13;100;Esmeraldas;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3124104;OI;Fibra;2;2;2;2;2;2
7,65358E+13;100;Governador Valadares;MG;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3127701;OI;Fibra;565;550;549;541;545;538
